ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
642326;314;HUM;ORMOŽ;98;1;;;1;HUM PRI ORMOŽU;HUM PRI ORMOŽU;45;;;1;2007;1;;;163;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;162,5;68,5; bivalni prostor | garaža | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
638869;2027;STARA LOKA;ŠKOFJA LOKA;1498;41;;;1;VEŠTER;VEŠTER;20;A;106;2;2010;1;;;119;1/1;;;;;;;;2 - Stanovanje;nadstropje;;118,8;73,9; bivalni prostor | garažni parkirni prostor | klet | odprta terasa, balkon, loža;;
634955;1696;RUDNIK;;2963;1;;;1;;;;;;15;1996;1;;;19;1/1;;;;;;;;35 - Terasa, balkon, loža;pritličje;;18,9;18,9; zaprta terasa, balkon, loža;;
632152;551;MOČNA;LENART;6;1;;;1;MOČNA;MOČNA;25;C;;1;1900;1;;;87;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;87;64; bivalni prostor | garaža | klet | odprta terasa, balkon, loža | zaprta terasa, balkon, loža;;
641201;984;LETUŠ;BRASLOVČE;125;1;;;1;LETUŠ;LETUŠ;80;D;;1;1998;1;;;202;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;201,7;129,8; bivalni prostor | klet | odprta terasa, balkon, loža;;
633899;1696;RUDNIK;ŠKOFLJICA;1937;1;;;1;LAVRICA;BABNOGORIŠKA CESTA;39;;;15;1875;1;;;225;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;225;130; bivalni prostor;;
638309;2614;KUBED;KOPER;348;1;;;1;GALANTIČI;GALANTIČI;11;;;1;1947;1;;;64;1/8;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;64;51,2; bivalni prostor;;
634542;472;GORENJSKI VRH;ZAVRČ;58;1;;;1;GORENJSKI VRH;GORENJSKI VRH;46;B;;1;1993;1;;;84;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;84,2;45,6; bivalni prostor | klet;;
639559;2315;ŠEMPETER;;715;1;;;1;;;;;;15;1925;1;;0;215;1/1;;;;;;;;33 - Klet;pritličje;;215;215; klet;;
640608;289;PRŠETINCI;SVETI TOMAŽ;252;1;;;1;PRŠETINCI;PRŠETINCI;6;;;1;1969;1;;;215;1/84;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;215,1;162; bivalni prostor | garaža | klet;;
